RawService,Categories,Source
Community outings,Disability & Aging Services; Community Events & Public Life,boss-draft-2026-09-08
Competitive Youth Basketball Travel Teams (AAU Program),"Youth Development & Mentoring; Sports, Recreation & Fitness",boss-draft-2026-09-08
Connections to External Educational Programs,K-12 Academic Support; College & Career Readiness,boss-draft-2026-09-08
Construction & Carpentry Job Training (SISU Builds),Housing & Economic Development; Employment & Workforce Training,boss-draft-2026-09-08
Consumer Protection,Financial Counseling,boss-draft-2026-09-08
Cooking Classes,Food Assistance; Youth Development & Mentoring,boss-draft-2026-09-08
Coordinated Family & Community Engagement (CFCE),Early Childhood & Child Care,boss-draft-2026-09-08
Corporate Work Study Program,Employment & Workforce Training; College & Career Readiness,boss-draft-2026-09-08
Costello Urban Farm,Food Assistance; Environmental Programs,boss-draft-2026-09-08
Creative Writing Apprenticeship,Arts & Creative Programs,boss-draft-2026-09-08
Creative Writing instruction,Arts & Creative Programs,boss-draft-2026-09-08
Credit Counseling,Financial Counseling,boss-draft-2026-09-08
Crew and Rowing Teams,"Sports, Recreation & Fitness",boss-draft-2026-09-08
Culinary & Hospitality Programs,Employment & Workforce Training,boss-draft-2026-09-08
Cultural Inclusion Program,Youth Development & Mentoring; Civic & Government Services,boss-draft-2026-09-08
Curriculum and Instruction,K-12 Academic Support,boss-draft-2026-09-08
Daily meals and snacks,Food Assistance; Disability & Aging Services,boss-draft-2026-09-08
Dance and Movement instruction,Arts & Creative Programs,boss-draft-2026-09-08
Day Programs,Disability & Aging Services,boss-draft-2026-09-08
Diaper Distribution,Clothing & Household Essentials,boss-draft-2026-09-08
Direct Kindness Packages & Essential Goods Provision,Food Assistance; Clothing & Household Essentials,boss-draft-2026-09-08
Disability Support Services,Disability & Aging Services,boss-draft-2026-09-08
Disaster Preparedness Education,Civic & Government Services,boss-draft-2026-09-08
Disaster Services,Civic & Government Services,boss-draft-2026-09-08
Disease Prevention and Health Education,Health Care (Clinical),boss-draft-2026-09-08
Dual Enrollment,K-12 Academic Support; College & Career Readiness,boss-draft-2026-09-08
ENCOMPASS: Community and Collaboration for Foster Families,Family Support & Child Welfare,boss-draft-2026-09-08
ESL classes,Adult Education & ESL,boss-draft-2026-09-08
ESOL Classes,Adult Education & ESL,boss-draft-2026-09-08
ESOL classes,Adult Education & ESL,boss-draft-2026-09-08
Early Childhood Education (Head Start & Childcare),Early Childhood & Child Care,boss-draft-2026-09-08
Early Childhood Education Program (Woodbridge School),Early Childhood & Child Care,boss-draft-2026-09-08
Early Intervention Services,Early Childhood & Child Care; Disability & Aging Services,boss-draft-2026-09-08
Early Learning Education and Care,Early Childhood & Child Care,boss-draft-2026-09-08
Elderly Support Program,Disability & Aging Services,boss-draft-2026-09-08
Emergency Care,Health Care (Clinical),boss-draft-2026-09-08
Emergency Food Pantry,Food Assistance,boss-draft-2026-09-08
Emergency Services,Civic & Government Services,boss-draft-2026-09-08
Emergency Shelter,Homelessness & Emergency Shelter,boss-draft-2026-09-08
Emergency and Seasonal Clothing Provision,Clothing & Household Essentials,boss-draft-2026-09-08
Employment Services,Employment & Workforce Training,boss-draft-2026-09-08
Empower Youth,Youth Development & Mentoring,boss-draft-2026-09-08
Empowerment Pop-up Shopping Events,Clothing & Household Essentials; Community Events & Public Life,boss-draft-2026-09-08
Energy Bill Assistance (LIHEAP),Utility & Emergency Financial Aid,boss-draft-2026-09-08
English Language Learner (ELL) support,K-12 Academic Support; Adult Education & ESL,boss-draft-2026-09-08
English Learner Support Services,Adult Education & ESL,boss-draft-2026-09-08
Environmental Education,Environmental Programs,boss-draft-2026-09-08
Environmental Health and Environmental Justice,Health Care (Clinical); Environmental Programs,boss-draft-2026-09-08
Evening Study Program,K-12 Academic Support,boss-draft-2026-09-08
Evening of Giving,Community Events & Public Life,boss-draft-2026-09-08
Executive Roundtables for Nonprofit Leaders,Small Business & Nonprofit Support,boss-draft-2026-09-08
Exercise classes,"Disability & Aging Services; Sports, Recreation & Fitness",boss-draft-2026-09-08
Extended Day Program,Early Childhood & Child Care; K-12 Academic Support,boss-draft-2026-09-08
Extra-Curricular Activities,K-12 Academic Support; Youth Development & Mentoring,boss-draft-2026-09-08
FORMED (religious content platform),Faith & Spiritual Services,boss-draft-2026-09-08
Facilities Usage & Event Rental,Community Events & Public Life,boss-draft-2026-09-08
Family & Community Engagement Programs,Family Support & Child Welfare; Community Events & Public Life,boss-draft-2026-09-08
Family Partnership,Family Support & Child Welfare,boss-draft-2026-09-08
Family Resource Center,Family Support & Child Welfare,boss-draft-2026-09-08
Family Strengthening and Mental Health Services,Mental & Behavioral Health; Family Support & Child Welfare,boss-draft-2026-09-08
Farmer's Market,Food Assistance,boss-draft-2026-09-08
Female Hoops Leadership,"Youth Development & Mentoring; Sports, Recreation & Fitness",boss-draft-2026-09-08
Financial Aid and Scholarships,College & Career Readiness,boss-draft-2026-09-08
Financial Assistance,Utility & Emergency Financial Aid,boss-draft-2026-09-08
Financial Assistance Programs,Utility & Emergency Financial Aid,boss-draft-2026-09-08
Financial Literacy,Financial Counseling,boss-draft-2026-09-08
First-Time Homebuyer Education,Homebuyers and Renters Assistance,boss-draft-2026-09-08
Fiscal Agent Services,Small Business & Nonprofit Support,boss-draft-2026-09-08
Food Distribution Program,Food Assistance,boss-draft-2026-09-08
Food Pantry,Food Assistance,boss-draft-2026-09-08
Food Pantry Services,Food Assistance,boss-draft-2026-09-08
Food Rescue,Food Assistance,boss-draft-2026-09-08
Food Support for Vulnerable Communities,Food Assistance,boss-draft-2026-09-08
Foreclosure Prevention,Homebuyers and Renters Assistance,corrected
Foreclosure Prevention and Homeowner Counseling,Homebuyers and Renters Assistance,corrected
Foster Care Services,Family Support & Child Welfare,boss-draft-2026-09-08
Foster Care and Adoption Placement Services,Family Support & Child Welfare,boss-draft-2026-09-08
Foster/Kinship/Adoptive Family Trauma Support (Kid's Net),Family Support & Child Welfare,boss-draft-2026-09-08
Free Barber & Cosmetology Shop for Youth (SISU CUTZ),Youth Development & Mentoring; Clothing & Household Essentials,boss-draft-2026-09-08
Fresh Start Mobile Showers & Laundry Services,Homelessness & Emergency Shelter; Clothing & Household Essentials,boss-draft-2026-09-08
GED & Vocational Training for Young Adults Ages 16-24 (YouthBuild),Employment & Workforce Training; Adult Education & ESL,boss-draft-2026-09-08
GLTS Scholarship Programs,College & Career Readiness,boss-draft-2026-09-08
General Community & Family Support,Family Support & Child Welfare,boss-draft-2026-09-08
General Studies Programs,College & Career Readiness,boss-draft-2026-09-08
Geriatric Care,Health Care (Clinical); Disability & Aging Services,boss-draft-2026-09-08
Grab and Go,Food Assistance,boss-draft-2026-09-08
Graduate Success,College & Career Readiness,boss-draft-2026-09-08
Gynecology,Health Care (Clinical),boss-draft-2026-09-08
HOLA Podcast,Arts & Creative Programs; Civic & Government Services,boss-draft-2026-09-08
Hair and Beauty Salon Services (Public),Employment & Workforce Training,boss-draft-2026-09-08
Health Insurance Enrollment and Cost of Care Assistance,Financial Counseling; Health Care (Clinical),boss-draft-2026-09-08
