Name,Address,City,State,Zip,URL,OrgType,ServiceArea,Services,Latitude,Longitude,Strategic Plan,Impact Report
Sevita Health,280 Merrimack Street,Lawrence,MA,1840,https://www.sevitahealth.com,Non-profit organization,Mental and Behavioral Health,"Mental Health, Substance Use, Behavioral Health, Residential Support, Disabilities",42.7030541,-71.1475829,,https://sevitahealth.com/our-impact/
Si se puede!,68 Melvin St #12-17,Lawrence,MA,1840,https://www.ssplawrence.org,Non-profit organization,Youth Development,"After School, Youth Development, Tutoring, Academic Support",42.7079,-71.1618,,
Squash Busters,60 Island Street,Lawrence,MA,1840,https://www.squashbusters.org,Non-profit organization,Youth Development,"After School, Youth Development, Athletics, Squash, College Access",42.7056604,-71.1530802,,https://squashbusters.org/reports/
St. Mary's Parish,300 Haverhill Street,Lawrence,MA,1840,https://www.stmaryassumption-lawrence.org,Faith-based Organization,Faith Institution,"Faith-based Services, Community Outreach, Food Pantry, Social Services",42.709638,-71.1668725,,
St. Patrick's Catholic Church,118 S. Broadway,Lawrence,MA,1840,https://www.saintpatrickparish.com,Faith-based Organization,Faith Institution,"Faith-based Services, Community Outreach, Social Services",42.6969321,-71.1628596,,https://www.saintpatrickparish.com/2025-annual-report
Suenos Basketball,"4 Vandergrift St., Lawrence MA 01843",Lawrence,MA,1840,https://suenosbasketball.com,Non-profit organization,Youth Development,"Athletics, Basketball, Youth Development, After School",42.707,-71.1631,,
The Community Builders,"90 Jackson St, Lawrence MA 01841",Lawrence,MA,1840,https://tcbinc.org/,Non-profit organization,Homelessness,"Housing, Affordable Housing, Homelessness, Community Development, Property Management",42.707,-71.1631,,https://tcbinc.org/news-and-ideas/#impact
The Community Group,190 Hampshire Street,Lawrence,MA,1840,https://www.thecommunitygroupinc.org,Non-profit organization,Youth education,"Early Childhood Development, Child Care, Education, Youth Development, Head Start",42.7094677,-71.1677546,,
The Institute for Career Transitions,REMOTE,Lawrence,MA,1840,https://ictransitions.org,Non-profit organization,Economic Mobility,"Workforce Development, Career Coaching, Job Training, Economic Mobility",42.707,-71.1631,,
The Kindness Collaborative,5 Castle Heights Road,Andover,MA,1810,https://kindnesscollab.org,Non-profit organization,Human Services,"Family Services, Basic Needs, Social Services, Community Support",42.6658174,-71.1473871,,
The Psychological Center,11 Union Street,Lawrence,MA,1840,https://psychologicalcenter.com,Non-profit organization,Mental and Behavioral Health,"Mental Health, Substance Use, Counseling, Therapy, Behavioral Health",42.707302,-71.1535128,,
The Salvation Army Lawrence Corps,250 Haverhill Street,Lawrence,MA,1842,https://easternusa.salvationarmy.org/massachusetts/lawrence,Non-profit organization,Human Services,"Workforce Development, Faith-based Services, Food Insecurity, Housing Insecurity, Homelessness, Substance Use, Youth Development, Veterans Services, Emergency Assistance",42.7098636,-71.1638597,,
Top Notch Scholars,60 Island St Suite 200,Lawrence,MA,1840,https://topnotchscholars.org,Non-profit organization,Youth Development,"Youth Development, Tutoring, College Prep, Academic Support, Mentoring",42.7057,-71.1531,,
Uncommon Threads,60 Island Street,Lawrence,MA,1840,https://www.uncommonthreads.org,Non-profit organization,Other: Clothing/Personal Growth,"Clothing, Personal Growth, Workforce Development, Life Skills",42.7056604,-71.1530802,,
YWCA,38 Lawrence Street,Lawrence,MA,1840,https://ywcanema.org,Non-profit organization,Human Services,"Youth Development, After School, Early Childhood, Domestic Violence, Women's Services",42.709136,-71.1621655,,
Youth Development Organization,15 Union St Ste 500,Lawrence,MA,1840,https://www.ydolawrence.org,Non-profit organization,Youth Development,"Youth Development, Mentoring, After School, Leadership Development",42.7081,-71.1531,,
American Red Cross | Massachusetts Region,60 Island Street Suite 50,Lawrence,MA,1840,https://www.redcross.org/local/massachusetts.html,Non-profit organization,Human Services,"Disaster Relief, Emergency Assistance, Health and Safety Training, CPR Training, First Aid, Blood Services, Armed Forces Services, Community Preparedness",42.7056604,-71.1530802,,
City of Lawrence,200 Common Street,Lawrence,MA,1840,https://www.cityoflawrence.com,Municipal Agency,Human Services,"Public Health, Senior Services, Veterans Services, Community Development, Housing, Economic Development, Recreation, Public Safety",42.7066,-71.1654,,
